F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.848,0.989,0.988,0.94,0.106,1.275,1.256,0.875,0.395,0.125,0.848,0.989,0.988,0.94,0.106,1.275,1.256,0.875,0.395,0.125,23.537,B
0.841,0.989,0.977,0.929,0.095,1.421,1.414,0.99,0.424,0.141,0.841,0.989,0.977,0.929,0.095,1.421,1.414,0.99,0.424,0.141,21.024,B
0.846,0.997,0.963,0.93,0.106,1.37,1.24,0.62,0.62,0.175,0.846,0.997,0.963,0.93,0.106,1.37,1.24,0.62,0.62,0.175,19.105,B
0.879,0.986,0.971,0.926,0.089,1.498,1.35,0.76,0.596,0.333,0.879,0.986,0.971,0.926,0.089,1.498,1.35,0.76,0.596,0.333,17.72,B
0.84,0.978,0.959,0.923,0.127,1.179,1.16,0.745,0.435,0.211,0.84,0.978,0.959,0.923,0.127,1.179,1.16,0.745,0.435,0.211,20.025,B
0.87,0.986,0.977,0.924,0.085,1.589,1.432,0.962,0.474,0.354,0.87,0.986,0.977,0.924,0.085,1.589,1.432,0.962,0.474,0.354,21.84,B
0.883,0.989,0.958,0.928,0.073,1.866,1.857,1.13,0.766,0.186,0.883,0.989,0.958,0.928,0.073,1.866,1.857,1.13,0.766,0.186,21.541,B
0.837,0.979,0.951,0.917,0.093,1.436,1.436,0.714,0.728,0.286,0.837,0.979,0.951,0.917,0.093,1.436,1.436,0.714,0.728,0.286,21.213,B
0.844,0.989,0.981,0.94,0.12,1.126,1.11,0.663,0.455,0.11,0.844,0.989,0.981,0.94,0.12,1.126,1.11,0.663,0.455,0.11,20.1,B
0.89,0.989,0.966,0.94,0.091,1.52,1.498,1.085,0.471,0.149,0.89,0.989,0.966,0.94,0.091,1.52,1.498,1.085,0.471,0.149,16,B
0.846,0.979,0.978,0.938,0.095,1.266,1.236,0.824,0.412,0.275,0.846,0.979,0.978,0.938,0.095,1.266,1.236,0.824,0.412,0.275,16,B
0.873,0.986,0.97,0.936,0.103,1.624,1.45,0.928,0.525,0.294,0.873,0.986,0.97,0.936,0.103,1.624,1.45,0.928,0.525,0.294,20.616,B
0.863,0.989,0.987,0.942,0.112,1.383,1.356,0.978,0.383,0.121,0.863,0.989,0.987,0.942,0.112,1.383,1.356,0.978,0.383,0.121,16,B
0.837,0.971,0.978,0.927,0.104,1.008,1.132,0.76,0.375,0.28,0.837,0.971,0.978,0.927,0.104,1.008,1.132,0.76,0.375,0.28,18.248,B
0.865,0.979,0.982,0.935,0.112,1.334,1.293,0.819,0.483,0.234,0.865,0.979,0.982,0.935,0.112,1.334,1.293,0.819,0.483,0.234,20.616,B
0.882,0.978,0.978,0.949,0.096,1.303,1.244,0.836,0.412,0.275,0.882,0.978,0.978,0.949,0.096,1.303,1.244,0.836,0.412,0.275,16.125,B
0.875,0.989,0.985,0.944,0.08,1.344,1.333,1,0.333,0.167,0.875,0.989,0.985,0.944,0.08,1.344,1.333,1,0.333,0.167,17.72,B
0.856,0.979,0.977,0.929,0.094,1.442,1.414,0.99,0.424,0.283,0.856,0.979,0.977,0.929,0.094,1.442,1.414,0.99,0.424,0.283,19.026,B
0.826,0.979,0.974,0.93,0.108,1.237,1.213,0.978,0.271,0.243,0.826,0.979,0.974,0.93,0.108,1.237,1.213,0.978,0.271,0.243,20.616,B
0.88,0.987,0.978,0.948,0.079,1.74,1.509,1.014,0.5,0.373,0.88,0.987,0.978,0.948,0.079,1.74,1.509,1.014,0.5,0.373,17.029,B
0.856,0.986,0.961,0.923,0.078,1.5,1.374,0.687,0.687,0.373,0.856,0.986,0.961,0.923,0.078,1.5,1.374,0.687,0.687,0.373,17,B
0.853,0.997,0.981,0.933,0.092,1.738,1.578,1,0.589,0.202,0.853,0.997,0.981,0.933,0.092,1.738,1.578,1,0.589,0.202,18.248,B
0.881,0.986,0.977,0.941,0.102,1.497,1.32,0.928,0.394,0.294,0.881,0.986,0.977,0.941,0.102,1.497,1.32,0.928,0.394,0.294,22.804,B
0.846,0.995,0.959,0.921,0.08,2.162,1.808,1.162,0.678,0.465,0.846,0.995,0.959,0.921,0.08,2.162,1.808,1.162,0.678,0.465,18.111,B
0.704,0.96,0.987,0.866,0.716,0.144,0.205,0.178,0.034,0.06,0.704,0.96,0.987,0.866,0.716,0.144,0.205,0.178,0.034,0.06,2,C
0.704,0.96,0.987,0.866,0.716,0.144,0.205,0.178,0.034,0.06,0.704,0.96,0.987,0.866,0.716,0.144,0.205,0.178,0.034,0.06,2,C
0.662,0.988,0.912,0.77,0.756,0.321,0.333,0.227,0.117,0.017,0.662,0.988,0.912,0.77,0.756,0.321,0.333,0.227,0.117,0.017,4.472,C
0.717,0.961,0.984,0.88,0.723,0.166,0.222,0.168,0.067,0.059,0.717,0.961,0.984,0.88,0.723,0.166,0.222,0.168,0.067,0.059,0,C
0.717,0.961,0.984,0.88,0.723,0.166,0.222,0.168,0.067,0.059,0.717,0.961,0.984,0.88,0.723,0.166,0.222,0.168,0.067,0.059,0,C
0.634,1.006,0.949,0.762,0.648,0.398,0.4,0.306,0.097,0.031,0.634,1.006,0.949,0.762,0.648,0.398,0.4,0.306,0.097,0.031,12.083,C
0.72,1,0.94,0.774,0.695,0.367,0.367,0.261,0.11,0,0.72,1,0.94,0.774,0.695,0.367,0.367,0.261,0.11,0,1,C
0.72,1,0.94,0.774,0.695,0.367,0.367,0.261,0.11,0,0.72,1,0.94,0.774,0.695,0.367,0.367,0.261,0.11,0,1,C
0.705,0.977,0.92,0.752,0.699,0.34,0.367,0.263,0.117,0.037,0.705,0.977,0.92,0.752,0.699,0.34,0.367,0.263,0.117,0.037,4,C
0.727,0.968,0.964,0.832,0.717,0.241,0.283,0.217,0.067,0.046,0.727,0.968,0.964,0.832,0.717,0.241,0.283,0.217,0.067,0.046,1,C
0.727,0.968,0.964,0.832,0.717,0.241,0.283,0.217,0.067,0.046,0.727,0.968,0.964,0.832,0.717,0.241,0.283,0.217,0.067,0.046,1,C
0.735,1,0.958,0.811,0.752,0.268,0.268,0.22,0.057,0,0.735,1,0.958,0.811,0.752,0.268,0.268,0.22,0.057,0,5,C
0.715,0.967,0.978,0.864,0.727,0.2,0.241,0.175,0.083,0.046,0.715,0.967,0.978,0.864,0.727,0.2,0.241,0.175,0.083,0.046,1,C
0.715,0.967,0.978,0.864,0.727,0.2,0.241,0.175,0.083,0.046,0.715,0.967,0.978,0.864,0.727,0.2,0.241,0.175,0.083,0.046,1,C
0.71,0.971,0.935,0.779,0.758,0.283,0.318,0.235,0.086,0.039,0.71,0.971,0.935,0.779,0.758,0.283,0.318,0.235,0.086,0.039,3.162,C
0.71,0.993,0.984,0.874,0.709,0.203,0.218,0.168,0.069,0.017,0.71,0.993,0.984,0.874,0.709,0.203,0.218,0.168,0.069,0.017,0,C
0.71,0.993,0.984,0.874,0.709,0.203,0.218,0.168,0.069,0.017,0.71,0.993,0.984,0.874,0.709,0.203,0.218,0.168,0.069,0.017,0,C
0.738,0.988,0.969,0.882,0.847,0.201,0.206,0.155,0.052,0.016,0.738,0.988,0.969,0.882,0.847,0.201,0.206,0.155,0.052,0.016,3,C
0.686,0.996,0.953,0.824,0.747,0.323,0.313,0.217,0.098,0.023,0.686,0.996,0.953,0.824,0.747,0.323,0.313,0.217,0.098,0.023,1,C
0.686,0.996,0.953,0.824,0.747,0.323,0.313,0.217,0.098,0.023,0.686,0.996,0.953,0.824,0.747,0.323,0.313,0.217,0.098,0.023,1,C
0.707,0.982,0.946,0.835,0.83,0.247,0.269,0.205,0.069,0.023,0.707,0.982,0.946,0.835,0.83,0.247,0.269,0.205,0.069,0.023,3.606,C
0.663,0.946,0.972,0.858,0.708,0.152,0.218,0.169,0.054,0.076,0.663,0.946,0.972,0.858,0.708,0.152,0.218,0.169,0.054,0.076,0,C
0.663,0.946,0.972,0.858,0.708,0.152,0.218,0.169,0.054,0.076,0.663,0.946,0.972,0.858,0.708,0.152,0.218,0.169,0.054,0.076,0,C
0.733,0.978,0.943,0.773,0.762,0.299,0.32,0.252,0.075,0.034,0.733,0.978,0.943,0.773,0.762,0.299,0.32,0.252,0.075,0.034,2.236,C
0.733,0.978,0.943,0.773,0.762,0.299,0.32,0.252,0.075,0.034,0.733,0.978,0.943,0.773,0.762,0.299,0.32,0.252,0.075,0.034,2.236,C
0.72,0.976,0.994,0.893,0.778,0.147,0.162,0.148,0.017,0.034,0.72,0.976,0.994,0.893,0.778,0.147,0.162,0.148,0.017,0.034,4.123,C
0.72,0.976,0.994,0.893,0.778,0.147,0.162,0.148,0.017,0.034,0.72,0.976,0.994,0.893,0.778,0.147,0.162,0.148,0.017,0.034,4.123,C
0.719,1.007,0.922,0.702,0.601,0.512,0.503,0.375,0.131,0.022,0.719,1.007,0.922,0.702,0.601,0.512,0.503,0.375,0.131,0.022,5,C
0.688,0.967,0.959,0.809,0.686,0.265,0.312,0.233,0.088,0.049,0.688,0.967,0.959,0.809,0.686,0.265,0.312,0.233,0.088,0.049,1,C
0.688,0.967,0.959,0.809,0.686,0.265,0.312,0.233,0.088,0.049,0.688,0.967,0.959,0.809,0.686,0.265,0.312,0.233,0.088,0.049,1,C
0.704,0.988,0.952,0.809,0.83,0.276,0.284,0.232,0.059,0.016,0.704,0.988,0.952,0.809,0.83,0.276,0.284,0.232,0.059,0.016,2.828,C
0.689,0.928,0.985,0.876,0.743,0.145,0.234,0.18,0.066,0.103,0.689,0.928,0.985,0.876,0.743,0.145,0.234,0.18,0.066,0.103,1,C
0.689,0.928,0.985,0.876,0.743,0.145,0.234,0.18,0.066,0.103,0.689,0.928,0.985,0.876,0.743,0.145,0.234,0.18,0.066,0.103,1,C
0.784,0.979,0.981,0.852,0.825,0.218,0.209,0.17,0.048,0.058,0.784,0.979,0.981,0.852,0.825,0.218,0.209,0.17,0.048,0.058,2.236,C
0.719,0.973,0.991,0.899,0.712,0.129,0.159,0.132,0.053,0.038,0.719,0.973,0.991,0.899,0.712,0.129,0.159,0.132,0.053,0.038,1,C
0.719,0.973,0.991,0.899,0.712,0.129,0.159,0.132,0.053,0.038,0.719,0.973,0.991,0.899,0.712,0.129,0.159,0.132,0.053,0.038,1,C
0.733,0.985,0.917,0.651,0.628,0.531,0.556,0.424,0.133,0.089,0.733,0.985,0.917,0.651,0.628,0.531,0.556,0.424,0.133,0.089,3.162,C
0.733,0.985,0.917,0.651,0.628,0.531,0.556,0.424,0.133,0.089,0.733,0.985,0.917,0.651,0.628,0.531,0.556,0.424,0.133,0.089,3.162,C
0.731,1.012,0.982,0.851,0.795,0.233,0.224,0.182,0.051,0.017,0.731,1.012,0.982,0.851,0.795,0.233,0.224,0.182,0.051,0.017,3,C
0.731,1.012,0.982,0.851,0.795,0.233,0.224,0.182,0.051,0.017,0.731,1.012,0.982,0.851,0.795,0.233,0.224,0.182,0.051,0.017,3,C
0.671,0.962,0.968,0.86,0.838,0.234,0.273,0.194,0.083,0.047,0.671,0.962,0.968,0.86,0.838,0.234,0.273,0.194,0.083,0.047,5.099,C
