1.288,3.659,0.531,0.312,1.002,3.342,0.72,0.328,0.495,2.806,1.288,3.659,0.531,0.312,1.002,3.342,0.72,0.328,0.495,2.806,125.67,E
1.285,3.717,0.553,0.339,0.961,3.522,0.711,0.313,0.489,2.989,1.285,3.717,0.553,0.339,0.961,3.522,0.711,0.313,0.489,2.989,129.035,E
1.306,3.703,0.569,0.353,0.973,3.447,0.686,0.315,0.472,2.893,1.306,3.703,0.569,0.353,0.973,3.447,0.686,0.315,0.472,2.893,125.801,E
1.289,3.654,0.557,0.363,0.962,3.421,0.709,0.354,0.491,2.891,1.289,3.654,0.557,0.363,0.962,3.421,0.709,0.354,0.491,2.891,126.016,E
1.264,3.629,0.553,0.348,0.93,3.535,0.723,0.316,0.507,2.979,1.264,3.629,0.553,0.348,0.93,3.535,0.723,0.316,0.507,2.979,128.004,E
1.24,3.541,0.577,0.415,0.833,3.774,0.712,0.293,0.547,3.196,1.24,3.541,0.577,0.415,0.833,3.774,0.712,0.293,0.547,3.196,127.413,E
1.297,3.66,0.579,0.368,0.946,3.486,0.696,0.342,0.482,2.975,1.297,3.66,0.579,0.368,0.946,3.486,0.696,0.342,0.482,2.975,126.016,E
1.34,3.855,0.575,0.365,0.992,3.522,0.678,0.313,0.441,3.041,1.34,3.855,0.575,0.365,0.992,3.522,0.678,0.313,0.441,3.041,127.801,E
3.363,1.388,1.639,1.913,5.185,0.595,0.218,0.095,0.138,0.457,3.363,1.388,1.639,1.913,5.185,0.595,0.218,0.095,0.138,0.457,107.898,F
2.378,1.775,1.24,1.329,3.64,0.844,0.199,0.101,0.11,0.755,2.378,1.775,1.24,1.329,3.64,0.844,0.199,0.101,0.11,0.755,90.609,F
4.983,3.019,1.01,1.607,6.586,0.666,0.316,0.135,0.183,0.35,4.983,3.019,1.01,1.607,6.586,0.666,0.316,0.135,0.183,0.35,113.172,F
12.921,8.339,4.055,5.681,17.961,0.78,0.298,0.108,0.198,0.494,12.921,8.339,4.055,5.681,17.961,0.78,0.298,0.108,0.198,0.494,106.301,F
0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,86.833,F
0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,86.833,F
0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,0.798,2.731,0.701,0.977,1.648,2.249,1.187,0.202,0.999,1.078,86.833,F
2.91,3.714,1.87,2.058,4.844,1.192,0.325,0.126,0.235,0.915,2.91,3.714,1.87,2.058,4.844,1.192,0.325,0.126,0.235,0.915,84.054,F
2.91,3.714,1.87,2.058,4.844,1.192,0.325,0.126,0.235,0.915,2.91,3.714,1.87,2.058,4.844,1.192,0.325,0.126,0.235,0.915,84.054,F
2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,91.049,F
2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,91.049,F
2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,2.346,2.428,1.232,1.27,3.603,1.019,0.187,0.095,0.108,0.888,91.049,F
3.51,2.52,1.425,1.72,5.007,0.846,0.232,0.11,0.13,0.675,3.51,2.52,1.425,1.72,5.007,0.846,0.232,0.11,0.13,0.675,103.479,F
2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,108.904,F
2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,108.904,F
2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,2.647,1.805,0.714,0.839,3.411,0.648,0.363,0.162,0.201,0.286,108.904,F
2.378,1.655,1.267,1.431,3.731,0.827,0.189,0.088,0.106,0.693,2.378,1.655,1.267,1.431,3.731,0.827,0.189,0.088,0.106,0.693,102.069,F
