0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
