F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.884,1.025,0.953,0.933,0.066,2.28,1.649,0.4,1.265,0.632,0.884,1.025,0.953,0.933,0.066,2.28,1.649,0.4,1.265,0.632,20.1,B
0.875,1.025,0.953,0.935,0.085,1.564,1.085,0.217,0.97,0.485,0.875,1.025,0.953,0.935,0.085,1.564,1.085,0.217,0.97,0.485,17,B
0.85,1.014,0.944,0.897,0.049,3.306,2.761,1,1.912,0.587,0.85,1.014,0.944,0.897,0.049,3.306,2.761,1,1.912,0.587,25.08,B
0.867,1.025,0.962,0.933,0.074,2.109,1.554,0.447,1.177,0.555,0.867,1.025,0.962,0.933,0.074,2.109,1.554,0.447,1.177,0.555,23.537,B
0.875,1.025,0.953,0.924,0.059,2.469,1.781,0.494,1.397,0.698,0.875,1.025,0.953,0.924,0.059,2.469,1.781,0.494,1.397,0.698,22.091,B
0.876,1.018,0.961,0.917,0.065,2.308,1.67,0.707,1.448,0.707,0.876,1.018,0.961,0.917,0.065,2.308,1.67,0.707,1.448,0.707,19.105,B
0.893,1.035,0.962,0.942,0.066,2.159,1.456,0.316,1.208,0.707,0.893,1.035,0.962,0.942,0.066,2.159,1.456,0.316,1.208,0.707,19.416,B
0.793,0.996,0.961,0.792,0.079,2.605,2.678,2.193,0.5,0.196,0.793,0.996,0.961,0.792,0.079,2.605,2.678,2.193,0.5,0.196,81.32,C
0.776,1.005,0.98,0.888,0.184,0.658,0.61,0.51,0.138,0.196,0.776,1.005,0.98,0.888,0.184,0.658,0.61,0.51,0.138,0.196,81.609,C
0.813,1.001,0.963,0.853,0.101,1.489,1.47,1.168,0.419,0.52,0.813,1.001,0.963,0.853,0.101,1.489,1.47,1.168,0.419,0.52,79.812,C
0.857,1.006,0.935,0.821,0.067,2.759,2.749,1.841,0.972,0.527,0.857,1.006,0.935,0.821,0.067,2.759,2.749,1.841,0.972,0.527,81.584,C
0.788,1.006,0.947,0.825,0.121,1.491,1.47,1.067,0.439,0.277,0.788,1.006,0.947,0.825,0.121,1.491,1.47,1.067,0.439,0.277,83.241,C
0.837,1.007,0.965,0.823,0.084,2.185,2.121,1.752,0.473,0.415,0.837,1.007,0.965,0.823,0.084,2.185,2.121,1.752,0.473,0.415,81.025,C
0.796,0.998,0.95,0.833,0.111,1.5,1.523,1.118,0.5,0.361,0.796,0.998,0.95,0.833,0.111,1.5,1.523,1.118,0.5,0.361,80.523,C
0.809,1.016,0.947,0.827,0.092,2.062,1.904,1.344,0.589,0.354,0.809,1.016,0.947,0.827,0.092,2.062,1.904,1.344,0.589,0.354,81.492,C
0.805,1.011,0.954,0.826,0.081,2.29,2.188,1.62,0.573,0.256,0.805,1.011,0.954,0.826,0.081,2.29,2.188,1.62,0.573,0.256,79.555,C
0.802,1.001,0.941,0.825,0.124,1.425,1.428,0.988,0.5,0.198,0.802,1.001,0.941,0.825,0.124,1.425,1.428,0.988,0.5,0.198,83.241,C
0.792,1.007,0.97,0.857,0.169,0.891,0.852,0.684,0.185,0.207,0.792,1.007,0.97,0.857,0.169,0.891,0.852,0.684,0.185,0.207,84.119,C
0.786,1.001,0.965,0.833,0.135,1.251,1.248,1.013,0.295,0.183,0.786,1.001,0.965,0.833,0.135,1.251,1.248,1.013,0.295,0.183,83.815,C
0.805,1.002,0.946,0.804,0.039,5.091,5.099,3.772,1.387,0.62,0.805,1.002,0.946,0.804,0.039,5.091,5.099,3.772,1.387,0.62,78.848,C
0.814,1.008,0.954,0.831,0.111,1.597,1.539,1.152,0.429,0.319,0.814,1.008,0.954,0.831,0.111,1.597,1.539,1.152,0.429,0.319,82.28,C
0.82,1.018,0.963,0.867,0.14,1.102,0.955,0.7,0.295,0.246,0.82,1.018,0.963,0.867,0.14,1.102,0.955,0.7,0.295,0.246,82.565,C
0.827,1.007,0.937,0.803,0.079,2.592,2.525,1.737,0.801,0.434,0.827,1.007,0.937,0.803,0.079,2.592,2.525,1.737,0.801,0.434,82.225,C
0.808,1.017,0.944,0.825,0.096,2.003,1.863,1.318,0.589,0.354,0.808,1.017,0.944,0.825,0.096,2.003,1.863,1.318,0.589,0.354,83.241,C
0.814,1.002,0.956,0.844,0.112,1.414,1.447,1.09,0.391,0.485,0.814,1.002,0.956,0.844,0.112,1.414,1.447,1.09,0.391,0.485,82.71,C
0.835,1.007,0.952,0.82,0.091,2.076,2,1.497,0.557,0.415,0.835,1.007,0.952,0.82,0.091,2.076,2,1.497,0.557,0.415,84.172,C
0.788,0.991,0.968,0.858,0.147,0.91,0.964,0.757,0.226,0.226,0.788,0.991,0.968,0.858,0.147,0.91,0.964,0.757,0.226,0.226,84.481,C
0.79,0.998,0.952,0.834,0.11,1.507,1.518,1.107,0.45,0.382,0.79,0.998,0.952,0.834,0.11,1.507,1.518,1.107,0.45,0.382,81.908,C
0.816,1.003,0.933,0.765,0.105,2.274,2.306,1.689,0.644,0.494,0.816,1.003,0.933,0.765,0.105,2.274,2.306,1.689,0.644,0.494,84.481,C
0.787,0.998,0.965,0.831,0.138,1.21,1.272,1.013,0.259,0.295,0.787,0.998,0.965,0.831,0.138,1.21,1.272,1.013,0.259,0.295,86.331,C
0.77,0.998,0.953,0.825,0.167,1.04,1.056,0.791,0.294,0.25,0.77,0.998,0.953,0.825,0.167,1.04,1.056,0.791,0.294,0.25,85.703,C
0.777,0.997,0.963,0.871,0.175,0.743,0.734,0.541,0.237,0.237,0.777,0.997,0.963,0.871,0.175,0.743,0.734,0.541,0.237,0.237,84.433,C
0.791,1.003,0.958,0.858,0.202,0.74,0.702,0.526,0.26,0.26,0.791,1.003,0.958,0.858,0.202,0.74,0.702,0.526,0.26,0.26,86.331,C
0.794,0.998,0.955,0.829,0.142,1.192,1.235,0.95,0.331,0.282,0.794,0.998,0.955,0.829,0.142,1.192,1.235,0.95,0.331,0.282,86.977,C
0.791,0.993,0.956,0.829,0.146,1.122,1.188,0.909,0.312,0.208,0.791,0.993,0.956,0.829,0.146,1.122,1.188,0.909,0.312,0.208,87.316,C
0.813,1.008,0.963,0.872,0.198,0.7,0.65,0.479,0.21,0.184,0.813,1.008,0.963,0.872,0.198,0.7,0.65,0.479,0.21,0.184,87.92,C
0.85,1.017,0.948,0.834,0.204,0.894,0.825,0.613,0.277,0.166,0.85,1.017,0.948,0.834,0.204,0.894,0.825,0.613,0.277,0.166,94.112,C
0.827,1.008,0.943,0.823,0.14,1.321,1.295,0.916,0.41,0.259,0.827,1.008,0.943,0.823,0.14,1.321,1.295,0.916,0.41,0.259,88.323,C
0.939,1.002,0.939,0.8,0.263,0.771,0.795,0.567,0.232,0.193,0.939,1.002,0.939,0.8,0.263,0.771,0.795,0.567,0.232,0.193,98.717,C
0.839,0.997,0.948,0.815,0.115,1.589,1.675,1.235,0.454,0.366,0.839,0.997,0.948,0.815,0.115,1.589,1.675,1.235,0.454,0.366,85.165,C
0.838,1.001,0.951,0.818,0.168,1.096,1.117,0.867,0.305,0.161,0.838,1.001,0.951,0.818,0.168,1.096,1.117,0.867,0.305,0.161,90.521,C
0.943,0.991,0.941,0.812,0.266,0.681,0.766,0.583,0.224,0.224,0.943,0.991,0.941,0.812,0.266,0.681,0.766,0.583,0.224,0.224,99.69,C
0.9,1.004,0.943,0.789,0.162,1.339,1.383,1.071,0.356,0.319,0.9,1.004,0.943,0.789,0.162,1.339,1.383,1.071,0.356,0.319,90.708,C
0.78,0.992,0.969,0.864,0.177,0.728,0.772,0.606,0.181,0.181,0.78,0.992,0.969,0.864,0.177,0.728,0.772,0.606,0.181,0.181,84.758,C
0.791,0.997,0.962,0.842,0.178,0.869,0.907,0.736,0.24,0.24,0.791,0.997,0.962,0.842,0.178,0.869,0.907,0.736,0.24,0.24,87.92,C
0.813,0.986,0.948,0.864,0.199,0.624,0.687,0.47,0.294,0.249,0.813,0.986,0.948,0.864,0.199,0.624,0.687,0.47,0.294,0.249,88.888,C
0.802,0.988,0.952,0.822,0.116,1.436,1.539,1.152,0.429,0.429,0.802,0.988,0.952,0.822,0.116,1.436,1.539,1.152,0.429,0.429,83.522,C
0.818,1.007,0.958,0.831,0.124,1.433,1.439,1.133,0.339,0.297,0.818,1.007,0.958,0.831,0.124,1.433,1.439,1.133,0.339,0.297,86.4,C
0.816,1.013,0.952,0.863,0.202,0.752,0.687,0.473,0.249,0.242,0.816,1.013,0.952,0.863,0.202,0.752,0.687,0.473,0.249,0.242,90.139,C
0.899,1.003,0.952,0.833,0.243,0.7,0.706,0.536,0.206,0.217,0.899,1.003,0.952,0.833,0.243,0.7,0.706,0.536,0.206,0.217,95.802,C
0.81,1.002,0.947,0.822,0.126,1.433,1.517,1.129,0.421,0.421,0.81,1.002,0.947,0.822,0.126,1.433,1.517,1.129,0.421,0.421,86.128,C
0.776,0.996,0.952,0.845,0.167,0.902,0.96,0.72,0.305,0.26,0.776,0.996,0.952,0.845,0.167,0.902,0.96,0.72,0.305,0.26,86.331,C
0.739,0.981,0.954,0.863,0.175,0.673,0.809,0.588,0.277,0.236,0.739,0.981,0.954,0.863,0.175,0.673,0.809,0.588,0.277,0.236,82.873,C
0.917,1.002,0.95,0.841,0.234,0.687,0.703,0.527,0.224,0.236,0.917,1.002,0.95,0.841,0.234,0.687,0.703,0.527,0.224,0.236,94.366,C
0.827,0.997,0.95,0.835,0.08,2.036,2.124,1.57,0.663,0.563,0.827,0.997,0.95,0.835,0.08,2.036,2.124,1.57,0.663,0.563,82.71,C
0.798,0.991,0.961,0.857,0.144,0.928,1.004,0.776,0.309,0.243,0.798,0.991,0.961,0.857,0.144,0.928,1.004,0.776,0.309,0.243,83.815,C
0.759,0.98,0.962,0.87,0.196,0.571,0.667,0.499,0.223,0.223,0.759,0.98,0.962,0.87,0.196,0.571,0.667,0.499,0.223,0.223,85.094,C
0.801,0.987,0.962,0.863,0.171,0.737,0.812,0.628,0.25,0.294,0.801,0.987,0.962,0.863,0.171,0.737,0.812,0.628,0.25,0.294,83.815,C
1.929,2.204,0.765,0.7,1.611,1.028,0.337,0.14,0.2,0.747,1.929,2.204,0.765,0.7,1.611,1.028,0.337,0.14,0.2,0.747,58.464,D
2.165,2.485,0.838,0.807,1.792,1.033,0.282,0.118,0.164,0.829,2.165,2.485,0.838,0.807,1.792,1.033,0.282,0.118,0.164,0.829,57.974,D
2.076,2.358,0.819,0.751,1.712,1.028,0.288,0.113,0.175,0.795,2.076,2.358,0.819,0.751,1.712,1.028,0.288,0.113,0.175,0.795,59.203,D
2.064,2.33,0.794,0.749,1.653,1.034,0.29,0.119,0.175,0.805,2.064,2.33,0.794,0.749,1.653,1.034,0.29,0.119,0.175,0.805,58.694,D
2.031,2.306,0.816,0.776,1.611,1.03,0.295,0.12,0.178,0.81,2.031,2.306,0.816,0.776,1.611,1.03,0.295,0.12,0.178,0.81,58.941,D
1.986,2.277,0.816,0.739,1.57,1.051,0.3,0.118,0.182,0.813,1.986,2.277,0.816,0.739,1.57,1.051,0.3,0.118,0.182,0.813,59.908,D
