F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.381,1.051,0.904,0.861,0.588,1.04,0.721,0.357,0.364,0.335,1.381,1.051,0.904,0.861,0.588,1.04,0.721,0.357,0.364,0.335,152.532,G
1.384,1.066,0.902,0.859,0.598,1.063,0.717,0.347,0.37,0.359,1.384,1.066,0.902,0.859,0.598,1.063,0.717,0.347,0.37,0.359,153.951,G
1.371,1.04,0.887,0.844,0.59,1.023,0.695,0.328,0.368,0.358,1.371,1.04,0.887,0.844,0.59,1.023,0.695,0.328,0.368,0.358,153.951,G
1.39,1.059,0.892,0.859,0.605,1.058,0.7,0.341,0.361,0.377,1.39,1.059,0.892,0.859,0.605,1.058,0.7,0.341,0.361,0.377,154.052,G
1.381,1.047,0.896,0.853,0.59,1.06,0.687,0.336,0.352,0.403,1.381,1.047,0.896,0.853,0.59,1.06,0.687,0.336,0.352,0.403,150.233,G
1.394,1.075,0.904,0.849,0.606,1.093,0.691,0.345,0.345,0.423,1.394,1.075,0.904,0.849,0.606,1.093,0.691,0.345,0.345,0.423,149.893,G
1.396,1.064,0.898,0.852,0.61,1.071,0.709,0.351,0.358,0.382,1.396,1.064,0.898,0.852,0.61,1.071,0.709,0.351,0.358,0.382,151.605,G
1.37,1.045,0.892,0.847,0.588,1.047,0.712,0.349,0.364,0.362,1.37,1.045,0.892,0.847,0.588,1.047,0.712,0.349,0.364,0.362,151.793,G
1.362,1.061,0.887,0.837,0.588,1.063,0.724,0.347,0.377,0.359,1.362,1.061,0.887,0.837,0.588,1.063,0.724,0.347,0.377,0.359,152.856,G
1.367,1.057,0.88,0.846,0.587,1.069,0.728,0.343,0.388,0.361,1.367,1.057,0.88,0.846,0.587,1.069,0.728,0.343,0.388,0.361,152.013,G
1.379,1.056,0.887,0.85,0.592,1.047,0.721,0.36,0.364,0.343,1.379,1.056,0.887,0.85,0.592,1.047,0.721,0.36,0.364,0.343,154.019,G
