F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.349,2.239,0.962,0.868,1.047,1.502,0.468,0.248,0.232,1.185,1.349,2.239,0.962,0.868,1.047,1.502,0.468,0.248,0.232,1.185,63.325,2
1.355,2.283,0.97,0.874,1.087,1.492,0.436,0.228,0.223,1.186,1.355,2.283,0.97,0.874,1.087,1.492,0.436,0.228,0.223,1.186,64.622,2
1.362,2.213,0.96,0.88,1.042,1.47,0.438,0.233,0.214,1.169,1.362,2.213,0.96,0.88,1.042,1.47,0.438,0.233,0.214,1.169,64.257,2
1.368,2.223,0.952,0.872,1.056,1.47,0.427,0.218,0.217,1.164,1.368,2.223,0.952,0.872,1.056,1.47,0.427,0.218,0.217,1.164,64.078,2
1.378,2.266,0.964,0.879,1.053,1.5,0.427,0.223,0.215,1.207,1.378,2.266,0.964,0.879,1.053,1.5,0.427,0.223,0.215,1.207,62.769,2
1.358,2.21,0.949,0.861,1.025,1.52,0.47,0.244,0.235,1.185,1.358,2.21,0.949,0.861,1.025,1.52,0.47,0.244,0.235,1.185,62.032,2
1.366,2.219,0.967,0.885,1.043,1.464,0.415,0.217,0.209,1.175,1.366,2.219,0.967,0.885,1.043,1.464,0.415,0.217,0.209,1.175,64.078,2
1.386,2.178,0.944,0.879,1.076,1.376,0.417,0.211,0.21,1.097,1.386,2.178,0.944,0.879,1.076,1.376,0.417,0.211,0.21,1.097,63.506,2
1.324,2.037,0.953,0.858,0.976,1.392,0.449,0.23,0.231,1.067,1.324,2.037,0.953,0.858,0.976,1.392,0.449,0.23,0.231,1.067,61.465,2
1.366,2.203,0.967,0.881,1.067,1.432,0.428,0.234,0.205,1.134,1.366,2.203,0.967,0.881,1.067,1.432,0.428,0.234,0.205,1.134,62.65,2
1.332,2.2,0.962,0.866,1.059,1.468,0.435,0.219,0.23,1.144,1.332,2.2,0.962,0.866,1.059,1.468,0.435,0.219,0.23,1.144,65.391,2
1.407,2.287,0.966,0.895,1.084,1.464,0.42,0.205,0.224,1.191,1.407,2.287,0.966,0.895,1.084,1.464,0.42,0.205,0.224,1.191,63.977,2
0.933,1.525,0.935,0.837,0.169,4.144,1.166,0.632,0.566,3.1,0.933,1.525,0.935,0.837,0.169,4.144,1.166,0.632,0.566,3.1,126.495,3
1.243,2.14,0.946,0.963,0.328,3.611,0.692,0.254,0.455,3.513,1.243,2.14,0.946,0.963,0.328,3.611,0.692,0.254,0.455,3.513,125.515,3
0.609,1.023,0.962,0.865,0.29,0.625,0.535,0.344,0.227,0.089,0.609,1.023,0.962,0.865,0.29,0.625,0.535,0.344,0.227,0.089,123.968,3
0.811,1.292,0.993,0.881,0.154,2.745,0.916,0.73,0.44,1.9,0.811,1.292,0.993,0.881,0.154,2.745,0.916,0.73,0.44,1.9,122.025,3
0.955,1.593,0.929,0.849,0.185,4.087,1.012,0.474,0.566,3.2,0.955,1.593,0.929,0.849,0.185,4.087,1.012,0.474,0.566,3.2,125.172,3
0.676,1.216,1.059,1.016,0.344,0.591,0.172,0.125,0.236,0.632,0.676,1.216,1.059,1.016,0.344,0.591,0.172,0.125,0.236,0.632,127.475,3
1.31,1.552,0.907,0.868,0.5,1.493,0.476,0.171,0.305,1.11,1.31,1.552,0.907,0.868,0.5,1.493,0.476,0.171,0.305,1.11,126.372,3
1.038,1.693,1.037,1.058,0.116,5.523,1.103,0.368,0.735,6.028,1.038,1.693,1.037,1.058,0.116,5.523,1.103,0.368,0.735,6.028,123.223,3
1.011,1.593,0.975,0.977,0.163,3.835,0.618,0.217,0.413,3.634,1.011,1.593,0.975,0.977,0.163,3.835,0.618,0.217,0.413,3.634,122.004,3
1.209,1.999,0.971,1.107,0.144,6.219,1.352,1.054,0.648,7.028,1.209,1.999,0.971,1.107,0.144,6.219,1.352,1.054,0.648,7.028,123.94,3
1.263,1.97,0.941,0.92,0.364,2.896,0.449,0.136,0.313,2.681,1.263,1.97,0.941,0.92,0.364,2.896,0.449,0.136,0.313,2.681,122.972,3
1.166,1.976,1.004,1.083,0.191,4.761,1.204,0.553,0.729,5.154,1.166,1.976,1.004,1.083,0.191,4.761,1.204,0.553,0.729,5.154,124.427,3
1.11,1.796,0.959,1.062,0.104,7.096,1.303,1.046,0.869,7.723,1.11,1.796,0.959,1.062,0.104,7.096,1.303,1.046,0.869,7.723,120.603,3
0.67,1.086,0.951,0.877,0.217,0.986,0.589,0.339,0.282,0.399,0.67,1.086,0.951,0.877,0.217,0.986,0.589,0.339,0.282,0.399,123.227,3
0.972,1.66,1.106,1.134,0.191,2.781,0.85,0.156,0.702,3.463,0.972,1.66,1.106,1.134,0.191,2.781,0.85,0.156,0.702,3.463,124.427,3
