1.103,2.188,0.928,0.908,0.624,2.795,0.817,0.396,0.421,2.062,1.103,2.188,0.928,0.908,0.624,2.795,0.817,0.396,0.421,2.062,64.031,
1.075,2.129,0.902,0.876,0.604,2.795,0.797,0.424,0.374,2.052,1.075,2.129,0.902,0.876,0.604,2.795,0.797,0.424,0.374,2.052,63.411,
1.161,2.228,0.954,0.955,0.645,2.741,0.78,0.391,0.39,2.067,1.161,2.228,0.954,0.955,0.645,2.741,0.78,0.391,0.39,2.067,62.626,
1.133,2.211,0.919,0.934,0.673,2.613,0.722,0.373,0.351,1.969,1.133,2.211,0.919,0.934,0.673,2.613,0.722,0.373,0.351,1.969,61.074,
1.204,2.212,0.881,0.905,0.779,2.309,0.74,0.345,0.398,1.655,1.204,2.212,0.881,0.905,0.779,2.309,0.74,0.345,0.398,1.655,58.052,
1.206,2.304,0.906,0.923,0.69,2.684,0.765,0.382,0.385,2.018,1.206,2.304,0.906,0.923,0.69,2.684,0.765,0.382,0.385,2.018,62.008,
1.199,2.236,0.901,0.902,0.807,2.252,0.63,0.335,0.297,1.675,1.199,2.236,0.901,0.902,0.807,2.252,0.63,0.335,0.297,1.675,56.586,
1.155,2.088,0.887,0.877,0.631,2.572,0.824,0.396,0.429,1.836,1.155,2.088,0.887,0.877,0.631,2.572,0.824,0.396,0.429,1.836,58.258,
1.184,2.177,0.932,0.939,0.619,2.739,0.791,0.423,0.368,2.054,1.184,2.177,0.932,0.939,0.619,2.739,0.791,0.423,0.368,2.054,59.405,
1.149,2.102,0.846,0.839,0.632,2.665,0.785,0.382,0.414,1.916,1.149,2.102,0.846,0.839,0.632,2.665,0.785,0.382,0.414,1.916,57.428,
1.079,2.005,0.827,0.82,0.578,2.741,0.884,0.4,0.497,1.897,1.079,2.005,0.827,0.82,0.578,2.741,0.884,0.4,0.497,1.897,59.203,
1.278,2.348,0.952,1.016,0.881,2.148,0.618,0.333,0.286,1.648,1.278,2.348,0.952,1.016,0.881,2.148,0.618,0.333,0.286,1.648,55.866,
1.058,1.942,0.873,0.843,0.552,2.803,0.818,0.412,0.412,1.997,1.058,1.942,0.873,0.843,0.552,2.803,0.818,0.412,0.412,1.997,60.465,
1.148,2.211,0.912,0.948,0.666,2.658,0.791,0.41,0.386,1.969,1.148,2.211,0.912,0.948,0.666,2.658,0.791,0.41,0.386,1.969,61.074,
1.216,2.291,0.926,0.968,0.74,2.493,0.675,0.376,0.304,1.909,1.216,2.291,0.926,0.968,0.74,2.493,0.675,0.376,0.304,1.909,58.796,
1.238,2.267,0.935,0.956,0.756,2.419,0.584,0.315,0.271,1.89,1.238,2.267,0.935,0.956,0.756,2.419,0.584,0.315,0.271,1.89,56.851,
1.162,2.287,0.906,0.941,0.69,2.671,0.764,0.383,0.386,2.007,1.162,2.287,0.906,0.941,0.69,2.671,0.764,0.383,0.386,2.007,60.308,
1.184,2.152,0.939,0.956,0.581,2.923,0.852,0.456,0.396,2.177,1.184,2.152,0.939,0.956,0.581,2.923,0.852,0.456,0.396,2.177,62.129,
1.199,2.289,0.912,0.962,0.629,2.879,0.782,0.396,0.396,2.214,1.199,2.289,0.912,0.962,0.629,2.879,0.782,0.396,0.396,2.214,61.4,
1.22,2.342,0.956,0.965,0.631,2.953,0.86,0.461,0.4,2.249,1.22,2.342,0.956,0.965,0.631,2.953,0.86,0.461,0.4,2.249,60.803,
1.224,2.266,0.952,1.007,0.636,2.811,0.821,0.442,0.38,2.146,1.224,2.266,0.952,1.007,0.636,2.811,0.821,0.442,0.38,2.146,59.034,
1.215,2.328,0.92,0.953,0.605,3.086,0.871,0.42,0.453,2.347,1.215,2.328,0.92,0.953,0.605,3.086,0.871,0.42,0.453,2.347,61.855,
1.28,2.41,0.97,1.027,0.815,2.344,0.647,0.35,0.298,1.846,1.28,2.41,0.97,1.027,0.815,2.344,0.647,0.35,0.298,1.846,57.28,
1.191,2.251,0.944,0.982,0.696,2.565,0.69,0.373,0.32,1.976,1.191,2.251,0.944,0.982,0.696,2.565,0.69,0.373,0.32,1.976,59.666,
1.301,2.39,0.964,1.04,0.723,2.624,0.755,0.396,0.361,2.048,1.301,2.39,0.964,1.04,0.723,2.624,0.755,0.396,0.361,2.048,57.201,
1.279,2.416,0.95,1.001,0.833,2.3,0.68,0.341,0.339,1.78,1.279,2.416,0.95,1.001,0.833,2.3,0.68,0.341,0.339,1.78,55.866,
1.268,2.262,0.964,1.067,0.903,1.92,0.511,0.31,0.208,1.538,1.268,2.262,0.964,1.067,0.903,1.92,0.511,0.31,0.208,1.538,51.088,
1.203,2.256,0.946,0.972,0.946,1.95,0.52,0.28,0.241,1.486,1.203,2.256,0.946,0.972,0.946,1.95,0.52,0.28,0.241,1.486,54.037,
1.219,2.253,0.96,0.962,0.832,2.164,0.599,0.323,0.276,1.645,1.219,2.253,0.96,0.962,0.832,2.164,0.599,0.323,0.276,1.645,54.562,
1.323,2.506,0.972,1.064,0.934,2.181,0.616,0.345,0.272,1.718,1.323,2.506,0.972,1.064,0.934,2.181,0.616,0.345,0.272,1.718,57.28,
1.284,2.28,0.944,0.995,0.865,2.131,0.601,0.335,0.268,1.621,1.284,2.28,0.944,0.995,0.865,2.131,0.601,0.335,0.268,1.621,53.759,
1.367,2.444,0.967,1.031,0.976,2.005,0.572,0.298,0.274,1.568,1.367,2.444,0.967,1.031,0.976,2.005,0.572,0.298,0.274,1.568,52.345,
1.304,2.482,0.969,1.067,0.925,2.135,0.588,0.323,0.267,1.706,1.304,2.482,0.969,1.067,0.925,2.135,0.588,0.323,0.267,1.706,56.727,
1.209,2.259,0.928,0.95,0.771,2.368,0.615,0.343,0.274,1.816,1.209,2.259,0.928,0.95,0.771,2.368,0.615,0.343,0.274,1.816,55.317,
1.195,2.286,0.94,1.033,0.639,2.829,0.754,0.408,0.361,2.219,1.195,2.286,0.94,1.033,0.639,2.829,0.754,0.408,0.361,2.219,61.033,
1.226,2.346,0.932,0.973,0.682,2.802,0.783,0.436,0.349,2.134,1.226,2.346,0.932,0.973,0.682,2.802,0.783,0.436,0.349,2.134,61.033,
1.173,2.172,0.927,0.947,0.656,2.636,0.722,0.387,0.337,1.988,1.173,2.172,0.927,0.947,0.656,2.636,0.722,0.387,0.337,1.988,57.801,
1.309,2.567,0.977,1.039,0.893,2.329,0.661,0.342,0.318,1.838,1.309,2.567,0.977,1.039,0.893,2.329,0.661,0.342,0.318,1.838,56.569,
1.251,2.185,0.913,0.944,0.913,1.896,0.558,0.299,0.262,1.409,1.251,2.185,0.913,0.944,0.913,1.896,0.558,0.299,0.262,1.409,49.406,
1.296,2.463,0.957,1.028,0.819,2.378,0.675,0.354,0.322,1.877,1.296,2.463,0.957,1.028,0.819,2.378,0.675,0.354,0.322,1.877,57.28,
1.198,2.21,0.937,0.944,0.773,2.231,0.592,0.307,0.285,1.712,1.198,2.21,0.937,0.944,0.773,2.231,0.592,0.307,0.285,1.712,54.037,
1.295,2.152,0.944,0.94,1.048,1.606,0.442,0.238,0.204,1.213,1.295,2.152,0.944,0.94,1.048,1.606,0.442,0.238,0.204,1.213,46.957,
,,,,,,,,,,,,,,,,,,,,,
0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,2.236,3
0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,2.236,
